id,date,phone,name,amount
1,29-04-2020,9455622241, Shankara Narasimhan,260
2,29-04-2020,9597628723, Sulya Gupta,90
3,29-04-2020,9640338121, Brahma Swamy,80
4,29-04-2020,9383568793, Vaibhav Mulye,240
5,29-04-2020,9455622241, Shankara Narasimhan,230
6,29-04-2020,9521737322, Riddhi Nair,70
7,29-04-2020,9389644210, Brahma Swamy,80
8,29-04-2020,9603660688, Dhenuka Dhawan,250
9,29-04-2020,9451926724, Sahan Sibal,260
10,29-04-2020,9699939066, Haripriya Nayak,270
11,29-04-2020,9590146908, Sachi Loliyekar,110
12,29-04-2020,9389644210, Brahma Swamy,100
13,29-04-2020,9640338121, Brahma Swamy,240
14,29-04-2020,9236367267, Takshaka Sandal,70
15,30-04-2020,9969345730, Kavi Edwin,210
16,30-04-2020,9389644210, Brahma Swamy,280
17,30-04-2020,9971276037, Pramlocha Comar,210
18,30-04-2020,9241664018, Utathya Ghate,260
19,30-04-2020,9248936762, Arpana Raja,260
20,30-04-2020,9640338121, Brahma Swamy,200
21,30-04-2020,9895408016, Mukul Krishna,180
22,30-04-2020,9241664018, Utathya Ghate,260
23,30-04-2020,9920950009, Rohan Sarma,110
24,30-04-2020,9820224845, Tanika Philip,90
25,30-04-2020,9383568793, Vaibhav Mulye,200
26,30-04-2020,9732082404, Kali Chaudry,290
27,30-04-2020,9534474777, Daeva Tata,70
28,01-05-2020,9389644210, Brahma Swamy,160
29,01-05-2020,9572464275, Salmalin Mehta,100
30,01-05-2020,9688156631, Sahan Oak,200
31,01-05-2020,9236367267, Takshaka Sandal,250
32,01-05-2020,9979209995, Atman Mathur,140
33,01-05-2020,9521737322, Riddhi Nair,140
34,01-05-2020,9265205814, Daeva Peri,180
35,01-05-2020,9267357082, Muni Wasgare,210
36,01-05-2020,9267357082, Muni Wasgare,290
37,01-05-2020,9590146908, Sachi Loliyekar,190
38,01-05-2020,9389644210, Brahma Swamy,290
39,01-05-2020,9241664018, Utathya Ghate,180
40,02-05-2020,9971276037, Pramlocha Comar,80
